SAO_number  RA2000  Dec2000  Mag  Type1  Type2  Arcsec
057522  4.949893  +33.1666  2.90  K  2  276714.83
158840  14.84790  -16.0418  2.90  A  3  485698.95
159682  16.09066  -19.8052  2.90  B  1  420499.77
038592  3.136141  +40.9556  2.90  B  8  212493.48
175217  8.125733  -24.3046  2.90  F  5  427600.39
131794  5.130826  -5.08649  2.90  A  3  277252.40
251974  12.61978  -69.1356  2.90  B  3  398080.59
204371  13.34325  -36.7124  2.90  A  2  499733.23
138917  12.69433  -1.44939  2.90  F  0  610148.76
056799  3.902206  +31.8834  2.90  B  1  229279.28
255193  22.30838  -60.2598  2.90  K  2  228134.84
186841  18.46616  -25.4213  2.90  K  0  301274.13
017074  16.39984  +61.5146  2.90  G  5  364272.01
063257  12.93377  +38.3187  2.90  A  0  502468.01
091781  0.220605  +15.1834  2.90  B  2  55914.01
255670  0.429278  -77.2547  2.90  G  0  278409.74
184481  16.59803  -28.2161  2.90  B  0  390360.73
239689  12.13930  -50.7224  2.90  B  3  465287.09
122671  17.72458  +4.56723  2.90  K  0  338827.31
065485  16.68818  +31.6026  3.00  G  0  383999.26
251083  10.71599  -64.3947  3.00  B  0  410681.64
056840  3.964229  +40.0106  3.00  B  1  241551.86
248474  1.979522  -61.5695  3.00  F  0  236053.62
225938  15.58567  -41.1667  3.00  B  3  419069.35
077336  5.627418  +21.1429  3.00  B  3  305238.54
030429  17.50725  +52.3013  3.00  G  0  340244.41
104461  19.09018  +13.8632  3.00  A  0  266891.57
141052  16.23908  -3.69434  3.00  M  0  418876.09
170457  5.470757  -20.7594  3.00  G  0  297287.04
164644  21.78403  -16.1273  3.00  A  5  131534.19
253346  15.91908  -63.4309  3.00  F  0  372250.72
228069  17.53071  -49.8763  3.00  B  3  340307.08
064203  14.53465  +38.3085  3.00  F  0  461459.46
187756  19.16279  -21.0237  3.00  F  2  265512.32
048796  19.74957  +45.1307  3.00  A  0  258560.63
237067  9.520361  -57.0342  3.00  K  5  416472.41
100384  13.03624  +10.9590  3.00  K  0  579812.86
183987  15.98082  -26.1144  3.00  B  2  420935.74
076199  3.791410  +24.1058  3.00  B  5  216270.12
115456  7.452518  +8.28932  3.10  B  8  401574.92
157323  12.49777  -16.5153  3.10  A  0  582905.91
218549  7.225649  -44.6398  3.10  M  5  370686.97
224538  13.92562  -47.2886  3.10  B  2  455168.98
081004  9.764181  +23.7741  3.10  G  0  502960.54
250695  9.785041  -65.0710  3.10  F  0  398323.18
253097  15.31518  -68.6798  3.10  A  0  372935.77
023789  3.079940  +53.5067  3.10  +  +  236490.13
090734  22.71677  +30.2217  3.10  G  0  127207.92
239791  12.25240  -58.7480  3.10  B  3  436231.10
244315  16.97703  -55.9900  3.10  K  5  354643.02
055306  2.159055  +34.9876  3.10  A  5  166404.17
145457  21.52591  -5.57116  3.10  G  0  134879.43
208102  16.86452  -38.0475  3.10  B  3  372011.19
172839  7.050403  -23.8339  3.10  B  5  375775.61
042630  8.986795  +48.0413  3.10  A  5  425187.02
039053  3.715411  +47.7874  3.10  B  5  243973.18
209696  18.09686  -30.4240  3.10  K  0  319492.50
228420  17.79305  -40.1268  3.10  F  5  332541.90
008220  15.34541  +71.8341  3.10  A  2  365457.73
196698  6.338557  -30.0638  3.10  B  3  339817.31
184336  16.35313  -25.5926  3.10  B  1  403712.48
043629  11.16103  +44.4983  3.10  K  0  482823.44
209957  18.29377  -36.7610  3.20  M  3  311294.90
078682  6.732200  +25.1310  3.20  G  5  359756.12
084951  17.25051  +24.8395  3.20  A  2  360685.09
145862  22.09633  -0.31989  3.20  G  0  102800.41
213374  21.89880  -37.3641  3.20  B  8  170454.25
017365  17.14646  +65.7149  3.20  B  5  342825.55
087301  19.51207  +27.9594  3.20  +  +  252314.96
256029  3.787367  -74.2389  3.20  M  0  293216.20
218071  6.629344  -43.1956  3.20  B  8  348722.61
149283  3.967155  -13.5083  3.20  K  5  217570.79
230300  20.62616  -47.2912  3.20  K  0  232215.35
196240  5.849324  -35.7689  3.20  K  0  317398.95
078297  6.382676  +22.5135  3.20  M  0  343084.84
043310  10.37211  +41.4995  3.20  K  5  478792.28
018222  19.20920  +67.6612  3.20  K  0  299536.47
180531  12.16879  -22.6192  3.20  K  0  566087.33
163481  20.35013  -14.7811  3.30  +  +  201875.92
141086  16.30530  -4.69245  3.30  K  0  415182.35
061414  9.350910  +34.3929  3.30  K  5  465795.74
209318  17.83091  -37.0431  3.30  K  2  331284.16
117264  8.923238  +5.94552  3.30  K  0  480791.25
010057  21.47760  +70.5605  3.30  B  1  269139.88
249647  6.803191  -61.9419  3.30  A  5  344283.90
040026  5.108579  +41.2345  3.30  B  3  287944.60
187239  18.76091  -26.9900  3.30  B  8  287435.27
067663  18.98236  +32.6890  3.30  A  0  279499.41
027289  9.547615  +51.6775  3.30  F  8  431195.21
252019  12.77133  -68.1088  3.30  B  3  401128.65
218755  7.487183  -43.3019  3.30  K  5  381729.84
112106  4.830668  +6.96131  3.30  F  8  261336.54
170051  5.091010  -22.3711  3.30  K  5  278672.09
224471  13.82694  -42.4736  3.30  B  2  471260.34
150237  5.215511  -16.2059  3.30  A  0  283343.59
251472  11.59639  -63.0198  3.30  B  9  420543.48
181543  13.31538  -23.1714  3.30  G  5  539724.99
156256  10.82706  -16.1933  3.30  K  0  562547.24
096074  6.754823  +12.8954  3.40  F  5  363719.34
142241  18.35510  -2.89889  3.40  K  0  304845.76
139420  13.57829  -0.59604  3.40  A  2  562750.72
183139  15.06783  -25.2818  3.40  M  3  464029.12
144150  20.18845  -0.82142  3.40  A  0  205839.40
225344  14.98608  -42.1045  3.40  B  3  438378.33
010818  23.65571  +77.6327  3.40  K  0  279660.26
225691  15.35621  -40.6479  3.40  B  2  428259.47
028315  12.25716  +57.0323  3.40  A  2  442379.88
252853  14.70846  -64.9756  3.40  F  0  391415.09
215365  1.101404  -46.7181  3.40  K  0  176066.81
071070  21.21569  +30.2262  3.40  K  0  179548.65
099512  11.23730  +15.4296  3.40  A  0  579150.90
215516  1.472764  -43.3188  3.40  K  5  171405.04
124603  19.42495  +3.11475  3.40  F  0  247170.82
132071  5.407957  -2.39707  3.40  B  1  292057.61
012031  1.906583  +63.6701  3.40  B  3  241492.83
248969  4.240431  -62.4733  3.40  G  5  281320.42
250905  10.28478  -61.3325  3.40  K  5  416178.44
187683  19.11563  -27.6707  3.40  K  0  270811.76
121962  16.96111  +9.37506  3.40  K  0  379330.55
227707  17.20253  -43.2397  3.40  F  2  355262.86
065890  17.25077  +36.8095  3.40  K  5  356316.42
185320  17.36683  -24.9995  3.40  B  3  354962.21
216112  2.971016  -40.3042  3.40  A  2  205522.27
216113  2.971026  -40.3047  3.40  A  2  205522.80
182244  14.10612  -26.6821  3.50  K  0  502415.43
224469  13.82501  -41.6878  3.50  B  2  473544.77
117112  8.779606  +6.41875  3.50  F  8  472949.85
043268  10.28495  +42.9146  3.50  A  2  472619.21
244726  17.42326  -56.3772  3.50  B  1  341200.17
181695  13.49520  -23.2818  3.50  M  7  533207.16
233564  4.566627  -55.0450  3.50  A  0  280362.32
242304  15.20471  -52.0993  3.50  K  0  411244.96
039955  5.032819  +43.8230  3.50  F  5  286514.00
064589  15.25830  +33.3143  3.50  K  0  444025.65
102680  17.24410  +14.3901  3.50  M  B  363519.85
165375  22.91085  -15.8208  3.50  A  2  81327.79
143021  19.10412  -4.88254  3.50  B  9  264598.57
029520  15.41540  +58.9660  3.50  K  0  391800.14
085397  17.77431  +27.7203  3.50  G  5  334786.25
014573  8.504407  +60.7180  3.50  G  0  386457.45
174601  7.821577  -24.8599  3.50  G  0  412605.72
054058  0.655479  +30.8615  3.50  K  2  116069.86
079294  7.335384  +21.9825  3.50  F  0  390669.09
142004  17.98378  -9.77361  3.50  K  0  324863.31
093954  4.476945  +19.1804  3.60  K  0  246555.88
207208  16.00204  -38.3964  3.60  B  3  406973.39
016273  14.07314  +64.3754  3.60  A  0  402246.64
098955  10.12229  +16.7622  3.60  A  0  531278.73
208116  16.87225  -38.0176  3.60  B  2  371707.13
235635  7.946304  -52.9820  3.60  B  3  385480.69
250228  8.428962  -66.1373  3.60  K  0  374047.64
254020  17.76221  -64.7230  3.60  K  0  329479.11
160700  17.62641  -15.3984  3.60  A  5  343445.80
021732  0.818342  +57.8159  3.60  F  8  211091.86
034137  22.18092  +58.2019  3.60  K  0  223472.79
052609  23.03203  +42.3260  3.60  +  +  159474.20
110707  2.721672  +3.23573  3.60  A  2  147350.84
236693  9.182771  -58.9677  3.60  B  3  404748.14
147986  1.734477  -15.9376  3.60  K  0  108783.26
045337  15.03246  +40.3906  3.60  G  5  440187.39
251006  10.53377  -61.6857  3.60  B  5  417926.76
093957  4.477699  +15.8708  3.60  F  0  245095.57
254733  20.14542  -66.1829  3.60  G  5  279286.70
254862  20.74932  -66.2035  3.60  A  5  268467.38
059570  6.879817  +33.9610  3.60  A  2  363295.35
194902  4.298233  -33.7987  3.60  B  9  248459.13
221234  9.511668  -40.4666  3.60  F  5  458019.06
074996  1.884693  +29.5782  3.60  F  5  144032.40
065504  16.71493  +38.9225  3.60  K  0  377575.65
140787  15.82708  -3.43025  3.60  A  0  441105.53
096746  7.301547  +16.5407  3.60  A  2  391264.82
187504  18.96215  -21.1061  3.60  K  0  275596.72
206552  15.36347  -36.2617  3.60  K  5  435209.20
147632  1.143160  -10.1823  3.60  K  0  71511.69
251862  12.35596  -60.4017  3.60  K  2  430047.37
081265  10.27815  +23.4179  3.60  F  0  524473.97
257000  13.03783  -71.5486  3.60  K  2  387903.77
108103  22.69100  +10.8310  3.60  B  8  80352.55
019019  20.75480  +61.8382  3.60  K  0  258633.23
250885  10.22890  -70.0373  3.60  B  8  388006.33
232573  1.932649  -51.6083  3.70  G  5  205549.75
246784  20.91351  -58.4548  3.70  K  0  247713.34
083831  15.46385  +29.1059  3.70  F  0  441276.81
257948  21.69138  -77.3906  3.70  K  0  286745.16
202558  11.55000  -31.8575  3.70  G  5  531032.52
078135  6.247966  +22.5062  3.70  M  0  336368.72
105500  19.97929  +19.4920  3.70  K  5  223797.94
122754  17.79827  +2.70722  3.70  A  0  334884.33
090816  22.83338  +24.6010  3.70  K  0  107536.46
009087  18.35092  +72.7320  3.70  F  8  318382.18
020268  22.82800  +66.2004  3.70  K  0  242551.48
075596  2.833069  +27.2601  3.70  B  8  176571.20
042661  9.060422  +47.1568  3.70  A  0  429242.08
220803  9.069242  -47.0978  3.70  K  0  429628.13
062486  11.30794  +33.0944  3.70  K  0  523776.64
079653  7.740793  +24.3970  3.70  G  5  409066.50
131952  5.293434  -6.84448  3.70  B  5  286120.63
112921  5.585629  +9.93409  3.70  O  E  301960.66
130686  3.720800  -9.76348  3.70  K  0  202946.15
123142  18.12240  +9.56386  3.70  A  3  317477.12
247593  22.80922  -51.3168  3.70  A  2  192582.85
237522  9.947711  -54.5678  3.70  B  5  431537.16
106316  20.62585  +14.5954  3.70  F  5  187612.87
127340  22.16991  +6.19782  3.70  A  2  101116.51
172797  7.028650  -27.9340  3.70  K  5  372941.96
199546  8.726537  -33.1868  3.70  B  2  443609.73
150801  5.782587  -14.8223  3.70  A  2  312650.67
021566  0.616198  +53.8961  3.70  B  3  195975.36
119674  12.92677  +3.39743  3.70  M  0  596512.43
