CenterRa CenterDec StarDensity
154.9999 +05.00000 1
154.9999 +10.00000 4
154.9999 +15.00000 4
154.9999 +20.00000 4
154.9999 +25.00000 3
154.9999 +30.00000 5
154.9999 +35.00000 7
154.9999 +40.00000 6
154.9999 +45.00000 4
154.9999 +50.00000 2
154.9999 +55.00000 10
154.9999 +60.00000 9
154.9999 +65.00000 10
154.9999 +70.00000 20
154.9999 +75.00000 11
154.9999 +80.00000 13
154.9999 +85.00000 39
159.9999 -85.00000 59
159.9999 -80.00000 33
159.9999 -75.00000 22
159.9999 -70.00000 16
159.9999 -65.00000 27
159.9999 -60.00000 34
159.9999 -55.00000 15
159.9999 -50.00000 8
159.9999 -45.00000 8
159.9999 -40.00000 4
159.9999 -35.00000 6
159.9999 -30.00000 5
159.9999 -25.00000 2
159.9999 -20.00000 4
159.9999 -15.00000 5
159.9999 -10.00000 4
159.9999 -05.00000 2
159.9999 +00.00000 2
159.9999 +05.00000 2
159.9999 +10.00000 4
159.9999 +15.00000 2
159.9999 +20.00000 3
159.9999 +25.00000 1
159.9999 +30.00000 3
159.9999 +35.00000 9
159.9999 +40.00000 7
159.9999 +45.00000 6
159.9999 +50.00000 1
159.9999 +55.00000 8
159.9999 +60.00000 9
159.9999 +65.00000 13
159.9999 +70.00000 15
159.9999 +75.00000 6
159.9999 +80.00000 13
159.9999 +85.00000 39
165.0000 -85.00000 52
165.0000 -80.00000 39
165.0000 -75.00000 28
165.0000 -70.00000 18
165.0000 -65.00000 33
165.0000 -60.00000 37
165.0000 -55.00000 15
165.0000 -50.00000 4
165.0000 -45.00000 6
165.0000 -40.00000 4
165.0000 -35.00000 5
165.0000 -30.00000 5
165.0000 -25.00000 3
165.0000 -20.00000 3
165.0000 -15.00000 3
165.0000 -10.00000 2
165.0000 -05.00000 2
165.0000 +00.00000 4
165.0000 +05.00000 4
165.0000 +10.00000 2
165.0000 +15.00000 1
165.0000 +20.00000 3
165.0000 +25.00000 3
165.0000 +30.00000 3
165.0000 +35.00000 4
165.0000 +40.00000 5
165.0000 +45.00000 5
165.0000 +50.00000 4
165.0000 +55.00000 9
165.0000 +60.00000 9
165.0000 +65.00000 14
165.0000 +70.00000 11
165.0000 +75.00000 8
165.0000 +80.00000 19
165.0000 +85.00000 39
169.9999 -85.00000 65
169.9999 -80.00000 33
169.9999 -75.00000 26
169.9999 -70.00000 16
169.9999 -65.00000 47
169.9999 -60.00000 29
169.9999 -55.00000 14
169.9999 -50.00000 8
169.9999 -45.00000 10
169.9999 -40.00000 6
169.9999 -35.00000 7
169.9999 -30.00000 5
169.9999 -25.00000 3
169.9999 -20.00000 3
169.9999 -15.00000 4
169.9999 -10.00000 3
169.9999 -05.00000 1
169.9999 +00.00000 5
169.9999 +05.00000 5
169.9999 +10.00000 4
169.9999 +15.00000 4
169.9999 +20.00000 4
169.9999 +25.00000 2
169.9999 +30.00000 2
169.9999 +35.00000 4
169.9999 +40.00000 7
169.9999 +45.00000 5
169.9999 +50.00000 2
169.9999 +55.00000 6
169.9999 +60.00000 8
169.9999 +65.00000 10
169.9999 +70.00000 11
169.9999 +75.00000 8
169.9999 +80.00000 26
169.9999 +85.00000 39
174.9999 -85.00000 65
174.9999 -80.00000 33
174.9999 -75.00000 26
174.9999 -70.00000 23
174.9999 -65.00000 43
174.9999 -60.00000 33
174.9999 -55.00000 11
174.9999 -50.00000 10
174.9999 -45.00000 10
174.9999 -40.00000 5
174.9999 -35.00000 7
174.9999 -30.00000 6
174.9999 -25.00000 3
174.9999 -20.00000 3
174.9999 -15.00000 4
174.9999 -10.00000 2
174.9999 -05.00000 2
174.9999 +00.00000 3
174.9999 +05.00000 4
174.9999 +10.00000 4
174.9999 +15.00000 4
174.9999 +20.00000 3
174.9999 +25.00000 1
174.9999 +30.00000 2
174.9999 +35.00000 4
174.9999 +40.00000 3
174.9999 +45.00000 4
174.9999 +50.00000 4
174.9999 +55.00000 6
174.9999 +60.00000 8
174.9999 +65.00000 8
174.9999 +70.00000 11
174.9999 +75.00000 8
174.9999 +80.00000 19
174.9999 +85.00000 32
180.0000 -85.00000 72
180.0000 -80.00000 29
180.0000 -75.00000 26
180.0000 -70.00000 31
180.0000 -65.00000 42
180.0000 -60.00000 36
180.0000 -55.00000 14
180.0000 -50.00000 11
180.0000 -45.00000 8
180.0000 -40.00000 5
180.0000 -35.00000 4
180.0000 -30.00000 3
180.0000 -25.00000 3
180.0000 -20.00000 4
180.0000 -15.00000 3
180.0000 -10.00000 0
180.0000 -05.00000 0
180.0000 +00.00000 1
180.0000 +05.00000 5
180.0000 +10.00000 4
180.0000 +15.00000 2
180.0000 +20.00000 3
180.0000 +25.00000 3
180.0000 +30.00000 3
180.0000 +35.00000 3
180.0000 +40.00000 2
180.0000 +45.00000 3
180.0000 +50.00000 5
180.0000 +55.00000 11
180.0000 +60.00000 10
180.0000 +65.00000 5
180.0000 +70.00000 11
180.0000 +75.00000 8
180.0000 +80.00000 23
180.0000 +85.00000 32
184.9999 -85.00000 72
184.9999 -80.00000 36
184.9999 -75.00000 31
184.9999 -70.00000 28
184.9999 -65.00000 38
184.9999 -60.00000 37
184.9999 -55.00000 17
184.9999 -50.00000 8
184.9999 -45.00000 8
184.9999 -40.00000 8
184.9999 -35.00000 4
184.9999 -30.00000 1
184.9999 -25.00000 5
184.9999 -20.00000 7
184.9999 -15.00000 5
184.9999 -10.00000 3
184.9999 -05.00000 2
184.9999 +00.00000 2
184.9999 +05.00000 1
184.9999 +10.00000 2
184.9999 +15.00000 2
184.9999 +20.00000 7
184.9999 +25.00000 10
184.9999 +30.00000 7
184.9999 +35.00000 3
184.9999 +40.00000 4
184.9999 +45.00000 4
184.9999 +50.00000 2
184.9999 +55.00000 11
184.9999 +60.00000 11
184.9999 +65.00000 12
184.9999 +70.00000 13
184.9999 +75.00000 8
184.9999 +80.00000 23
184.9999 +85.00000 39
189.9999 -85.00000 72
189.9999 -80.00000 33
189.9999 -75.00000 28
189.9999 -70.00000 31
189.9999 -65.00000 33
189.9999 -60.00000 30
189.9999 -55.00000 20
189.9999 -50.00000 10
189.9999 -45.00000 8
189.9999 -40.00000 7
189.9999 -35.00000 6
189.9999 -30.00000 4
189.9999 -25.00000 3
189.9999 -20.00000 3
189.9999 -15.00000 5
189.9999 -10.00000 5
189.9999 -05.00000 2
189.9999 +00.00000 1
189.9999 +05.00000 2
189.9999 +10.00000 3
189.9999 +15.00000 4
189.9999 +20.00000 5
189.9999 +25.00000 10
189.9999 +30.00000 5
189.9999 +35.00000 4
189.9999 +40.00000 5
189.9999 +45.00000 4
189.9999 +50.00000 5
189.9999 +55.00000 11
189.9999 +60.00000 13
189.9999 +65.00000 12
189.9999 +70.00000 13
189.9999 +75.00000 11
189.9999 +80.00000 23
189.9999 +85.00000 32
195.0000 -85.00000 72
195.0000 -80.00000 29
195.0000 -75.00000 31
195.0000 -70.00000 31
195.0000 -65.00000 28
195.0000 -60.00000 24
195.0000 -55.00000 16
195.0000 -50.00000 14
195.0000 -45.00000 12
195.0000 -40.00000 8
195.0000 -35.00000 4
195.0000 -30.00000 3
195.0000 -25.00000 3
195.0000 -20.00000 4
195.0000 -15.00000 2
195.0000 -10.00000 2
195.0000 -05.00000 2
195.0000 +00.00000 1
195.0000 +05.00000 2
195.0000 +10.00000 5
195.0000 +15.00000 5
195.0000 +20.00000 4
195.0000 +25.00000 4
195.0000 +30.00000 3
195.0000 +35.00000 5
195.0000 +40.00000 7
195.0000 +45.00000 3
195.0000 +50.00000 3
195.0000 +55.00000 8
195.0000 +60.00000 10
195.0000 +65.00000 10
195.0000 +70.00000 13
195.0000 +75.00000 13
195.0000 +80.00000 23
195.0000 +85.00000 46
199.9999 -85.00000 65
199.9999 -80.00000 36
199.9999 -75.00000 31
199.9999 -70.00000 31
199.9999 -65.00000 17
199.9999 -60.00000 21
199.9999 -55.00000 16
199.9999 -50.00000 14
199.9999 -45.00000 9
199.9999 -40.00000 8
199.9999 -35.00000 4
199.9999 -30.00000 1
199.9999 -25.00000 3
199.9999 -20.00000 6
199.9999 -15.00000 5
199.9999 -10.00000 5
199.9999 -05.00000 4
199.9999 +00.00000 2
199.9999 +05.00000 2
199.9999 +10.00000 6
199.9999 +15.00000 4
199.9999 +20.00000 3
199.9999 +25.00000 3
199.9999 +30.00000 2
199.9999 +35.00000 4
199.9999 +40.00000 6
199.9999 +45.00000 7
199.9999 +50.00000 8
199.9999 +55.00000 11
199.9999 +60.00000 6
199.9999 +65.00000 13
199.9999 +70.00000 11
199.9999 +75.00000 15
199.9999 +80.00000 23
199.9999 +85.00000 39
204.9999 -85.00000 65
204.9999 -80.00000 36
204.9999 -75.00000 22
204.9999 -70.00000 23
204.9999 -65.00000 19
204.9999 -60.00000 16
204.9999 -55.00000 13
204.9999 -50.00000 15
204.9999 -45.00000 13
204.9999 -40.00000 7
204.9999 -35.00000 6
204.9999 -30.00000 5
204.9999 -25.00000 4
204.9999 -20.00000 4
204.9999 -15.00000 5
204.9999 -10.00000 5
204.9999 -05.00000 4
204.9999 +00.00000 3
204.9999 +05.00000 1
204.9999 +10.00000 2
204.9999 +15.00000 5
204.9999 +20.00000 5
204.9999 +25.00000 4
204.9999 +30.00000 2
204.9999 +35.00000 7
204.9999 +40.00000 5
204.9999 +45.00000 3
204.9999 +50.00000 9
204.9999 +55.00000 9
204.9999 +60.00000 5
204.9999 +65.00000 9
204.9999 +70.00000 3
204.9999 +75.00000 11
204.9999 +80.00000 23
204.9999 +85.00000 39
210.0000 -85.00000 78
210.0000 -80.00000 39
210.0000 -75.00000 22
210.0000 -70.00000 21
210.0000 -65.00000 20
210.0000 -60.00000 14
210.0000 -55.00000 15
210.0000 -50.00000 15
210.0000 -45.00000 16
210.0000 -40.00000 11
210.0000 -35.00000 7
210.0000 -30.00000 6
210.0000 -25.00000 4
210.0000 -20.00000 3
210.0000 -15.00000 4
210.0000 -10.00000 2
210.0000 -05.00000 2
210.0000 +00.00000 2
210.0000 +05.00000 2
210.0000 +10.00000 2
210.0000 +15.00000 5
210.0000 +20.00000 5
210.0000 +25.00000 3
210.0000 +30.00000 2
210.0000 +35.00000 5
210.0000 +40.00000 3
210.0000 +45.00000 4
210.0000 +50.00000 11
210.0000 +55.00000 12
210.0000 +60.00000 5
210.0000 +65.00000 8
210.0000 +70.00000 3
210.0000 +75.00000 11
210.0000 +80.00000 19
210.0000 +85.00000 39
214.9999 -85.00000 78
214.9999 -80.00000 39
214.9999 -75.00000 17
214.9999 -70.00000 20
214.9999 -65.00000 21
214.9999 -60.00000 13
214.9999 -55.00000 15
214.9999 -50.00000 17
214.9999 -45.00000 17
214.9999 -40.00000 9
214.9999 -35.00000 5
214.9999 -30.00000 5
214.9999 -25.00000 6
214.9999 -20.00000 2
214.9999 -15.00000 2
214.9999 -10.00000 2
214.9999 -05.00000 3
214.9999 +00.00000 4
214.9999 +05.00000 2
214.9999 +10.00000 4
214.9999 +15.00000 4
214.9999 +20.00000 4
214.9999 +25.00000 2
214.9999 +30.00000 3
214.9999 +35.00000 2
214.9999 +40.00000 4
214.9999 +45.00000 4
214.9999 +50.00000 8
214.9999 +55.00000 8
214.9999 +60.00000 5
214.9999 +65.00000 9
214.9999 +70.00000 6
214.9999 +75.00000 13
214.9999 +80.00000 26
214.9999 +85.00000 39
219.9999 -85.00000 78
219.9999 -80.00000 52
219.9999 -75.00000 24
219.9999 -70.00000 20
219.9999 -65.00000 21
219.9999 -60.00000 19
219.9999 -55.00000 13
219.9999 -50.00000 14
219.9999 -45.00000 17
219.9999 -40.00000 13
219.9999 -35.00000 8
219.9999 -30.00000 5
219.9999 -25.00000 8
219.9999 -20.00000 3
219.9999 -15.00000 2
219.9999 -10.00000 3
219.9999 -05.00000 3
219.9999 +00.00000 3
219.9999 +05.00000 2
219.9999 +10.00000 3
219.9999 +15.00000 5
219.9999 +20.00000 5
219.9999 +25.00000 5
219.9999 +30.00000 5
219.9999 +35.00000 4
219.9999 +40.00000 6
219.9999 +45.00000 5
219.9999 +50.00000 8
219.9999 +55.00000 5
219.9999 +60.00000 4
219.9999 +65.00000 6
219.9999 +70.00000 10
219.9999 +75.00000 15
219.9999 +80.00000 23
219.9999 +85.00000 39
225.0000 -85.00000 72
225.0000 -80.00000 56
225.0000 -75.00000 22
225.0000 -70.00000 18
225.0000 -65.00000 29
225.0000 -60.00000 16
225.0000 -55.00000 7
225.0000 -50.00000 16
225.0000 -45.00000 17
225.0000 -40.00000 12
225.0000 -35.00000 9
225.0000 -30.00000 9
225.0000 -25.00000 10
225.0000 -20.00000 6
225.0000 -15.00000 4
225.0000 -10.00000 3
225.0000 -05.00000 4
225.0000 +00.00000 6
225.0000 +05.00000 1
225.0000 +10.00000 1
225.0000 +15.00000 6
225.0000 +20.00000 4
225.0000 +25.00000 5
225.0000 +30.00000 5
225.0000 +35.00000 4
225.0000 +40.00000 5
225.0000 +45.00000 6
225.0000 +50.00000 6
225.0000 +55.00000 5
225.0000 +60.00000 6
225.0000 +65.00000 9
225.0000 +70.00000 11
225.0000 +75.00000 22
225.0000 +80.00000 29
225.0000 +85.00000 39
229.9999 -85.00000 72
229.9999 -80.00000 59
229.9999 -75.00000 24
229.9999 -70.00000 20
229.9999 -65.00000 27
229.9999 -60.00000 17
229.9999 -55.00000 9
229.9999 -50.00000 11
229.9999 -45.00000 20
229.9999 -40.00000 14
229.9999 -35.00000 9
229.9999 -30.00000 6
229.9999 -25.00000 5
229.9999 -20.00000 6
229.9999 -15.00000 4
229.9999 -10.00000 4
229.9999 -05.00000 1
229.9999 +00.00000 4
229.9999 +05.00000 2
229.9999 +10.00000 1
229.9999 +15.00000 2
229.9999 +20.00000 2
229.9999 +25.00000 6
229.9999 +30.00000 7
229.9999 +35.00000 7
229.9999 +40.00000 6
229.9999 +45.00000 5
229.9999 +50.00000 8
229.9999 +55.00000 10
229.9999 +60.00000 8
229.9999 +65.00000 9
229.9999 +70.00000 11
229.9999 +75.00000 24
229.9999 +80.00000 29
229.9999 +85.00000 39
234.9999 -85.00000 78
234.9999 -80.00000 62
234.9999 -75.00000 31
234.9999 -70.00000 20
234.9999 -65.00000 23
234.9999 -60.00000 14
234.9999 -55.00000 11
234.9999 -50.00000 10
234.9999 -45.00000 11
234.9999 -40.00000 12
234.9999 -35.00000 9
234.9999 -30.00000 7
234.9999 -25.00000 10
234.9999 -20.00000 8
234.9999 -15.00000 6
234.9999 -10.00000 2
234.9999 -05.00000 4
234.9999 +00.00000 5
234.9999 +05.00000 4
234.9999 +10.00000 4
234.9999 +15.00000 8
234.9999 +20.00000 5
234.9999 +25.00000 5
234.9999 +30.00000 8
234.9999 +35.00000 8
234.9999 +40.00000 9
234.9999 +45.00000 8
234.9999 +50.00000 8
234.9999 +55.00000 13
234.9999 +60.00000 12
234.9999 +65.00000 10
234.9999 +70.00000 13
234.9999 +75.00000 26
234.9999 +80.00000 33
234.9999 +85.00000 39
240.0000 -85.00000 85
240.0000 -80.00000 52
240.0000 -75.00000 28
240.0000 -70.00000 21
240.0000 -65.00000 19
240.0000 -60.00000 14
240.0000 -55.00000 13
240.0000 -50.00000 10
240.0000 -45.00000 8
240.0000 -40.00000 10
240.0000 -35.00000 9
240.0000 -30.00000 12
240.0000 -25.00000 14
240.0000 -20.00000 10
240.0000 -15.00000 5
240.0000 -10.00000 4
240.0000 -05.00000 5
240.0000 +00.00000 4
240.0000 +05.00000 5
240.0000 +10.00000 2
240.0000 +15.00000 7
240.0000 +20.00000 7
240.0000 +25.00000 6
240.0000 +30.00000 6
240.0000 +35.00000 9
240.0000 +40.00000 9
240.0000 +45.00000 8
240.0000 +50.00000 7
240.0000 +55.00000 10
240.0000 +60.00000 12
240.0000 +65.00000 13
240.0000 +70.00000 13
240.0000 +75.00000 24
240.0000 +80.00000 33
240.0000 +85.00000 39
244.9999 -85.00000 72
244.9999 -80.00000 39
244.9999 -75.00000 24
244.9999 -70.00000 16
244.9999 -65.00000 16
244.9999 -60.00000 19
244.9999 -55.00000 15
244.9999 -50.00000 12
244.9999 -45.00000 8
244.9999 -40.00000 11
244.9999 -35.00000 10
244.9999 -30.00000 7
244.9999 -25.00000 12
244.9999 -20.00000 8
244.9999 -15.00000 4
244.9999 -10.00000 5
244.9999 -05.00000 5
244.9999 +00.00000 4
244.9999 +05.00000 5
244.9999 +10.00000 3
244.9999 +15.00000 3
244.9999 +20.00000 6
244.9999 +25.00000 3
244.9999 +30.00000 4
244.9999 +35.00000 7
244.9999 +40.00000 6
244.9999 +45.00000 8
244.9999 +50.00000 8
244.9999 +55.00000 11
244.9999 +60.00000 10
244.9999 +65.00000 12
244.9999 +70.00000 8
244.9999 +75.00000 17
244.9999 +80.00000 36
244.9999 +85.00000 26
249.9999 -85.00000 72
249.9999 -80.00000 36
249.9999 -75.00000 24
249.9999 -70.00000 20
249.9999 -65.00000 13
249.9999 -60.00000 16
249.9999 -55.00000 18
249.9999 -50.00000 10
249.9999 -45.00000 15
249.9999 -40.00000 15
249.9999 -35.00000 7
249.9999 -30.00000 6
249.9999 -25.00000 7
249.9999 -20.00000 5
249.9999 -15.00000 4
249.9999 -10.00000 2
249.9999 -05.00000 2
249.9999 +00.00000 5
249.9999 +05.00000 6
249.9999 +10.00000 5
249.9999 +15.00000 3
249.9999 +20.00000 4
249.9999 +25.00000 2
249.9999 +30.00000 4
249.9999 +35.00000 6
249.9999 +40.00000 3
249.9999 +45.00000 5
249.9999 +50.00000 6
249.9999 +55.00000 6
249.9999 +60.00000 9
249.9999 +65.00000 13
249.9999 +70.00000 8
249.9999 +75.00000 22
249.9999 +80.00000 39
249.9999 +85.00000 26
255.0000 -85.00000 59
255.0000 -80.00000 23
255.0000 -75.00000 17
255.0000 -70.00000 16
255.0000 -65.00000 16
255.0000 -60.00000 19
255.0000 -55.00000 18
255.0000 -50.00000 10
255.0000 -45.00000 14
255.0000 -40.00000 12
255.0000 -35.00000 11
255.0000 -30.00000 9
255.0000 -25.00000 5
255.0000 -20.00000 4
255.0000 -15.00000 1
255.0000 -10.00000 1
255.0000 -05.00000 2
255.0000 +00.00000 6
255.0000 +05.00000 4
255.0000 +10.00000 5
255.0000 +15.00000 5
255.0000 +20.00000 2
255.0000 +25.00000 5
255.0000 +30.00000 5
255.0000 +35.00000 7
255.0000 +40.00000 5
255.0000 +45.00000 4
255.0000 +50.00000 7
255.0000 +55.00000 8
255.0000 +60.00000 9
255.0000 +65.00000 9
255.0000 +70.00000 16
255.0000 +75.00000 22
255.0000 +80.00000 36
255.0000 +85.00000 32
259.9999 -85.00000 59
259.9999 -80.00000 23
259.9999 -75.00000 19
259.9999 -70.00000 15
259.9999 -65.00000 12
259.9999 -60.00000 19
259.9999 -55.00000 18
259.9999 -50.00000 12
259.9999 -45.00000 8
259.9999 -40.00000 10
259.9999 -35.00000 10
259.9999 -30.00000 8
259.9999 -25.00000 7
259.9999 -20.00000 4
259.9999 -15.00000 3
259.9999 -10.00000 2
259.9999 -05.00000 3
259.9999 +00.00000 5
259.9999 +05.00000 3
259.9999 +10.00000 5
259.9999 +15.00000 7
259.9999 +20.00000 6
259.9999 +25.00000 6
259.9999 +30.00000 6
259.9999 +35.00000 9
259.9999 +40.00000 6
259.9999 +45.00000 5
259.9999 +50.00000 6
259.9999 +55.00000 6
259.9999 +60.00000 3
259.9999 +65.00000 10
259.9999 +70.00000 11
259.9999 +75.00000 26
259.9999 +80.00000 26
259.9999 +85.00000 32
264.9999 -85.00000 65
264.9999 -80.00000 23
264.9999 -75.00000 11
264.9999 -70.00000 10
264.9999 -65.00000 12
264.9999 -60.00000 14
264.9999 -55.00000 12
264.9999 -50.00000 12
264.9999 -45.00000 8
264.9999 -40.00000 11
264.9999 -35.00000 11
264.9999 -30.00000 5
264.9999 -25.00000 5
264.9999 -20.00000 3
264.9999 -15.00000 3
264.9999 -10.00000 3
264.9999 -05.00000 3
264.9999 +00.00000 3
264.9999 +05.00000 4
264.9999 +10.00000 2
264.9999 +15.00000 4
264.9999 +20.00000 8
264.9999 +25.00000 10
264.9999 +30.00000 7
264.9999 +35.00000 5
264.9999 +40.00000 5
264.9999 +45.00000 4
264.9999 +50.00000 8
264.9999 +55.00000 9
264.9999 +60.00000 6
264.9999 +65.00000 10
264.9999 +70.00000 11
264.9999 +75.00000 22
264.9999 +80.00000 26
264.9999 +85.00000 26
270.0000 -85.00000 59
270.0000 -80.00000 23
270.0000 -75.00000 11
270.0000 -70.00000 8
270.0000 -65.00000 14
270.0000 -60.00000 11
270.0000 -55.00000 7
270.0000 -50.00000 8
270.0000 -45.00000 11
270.0000 -40.00000 13
270.0000 -35.00000 11
270.0000 -30.00000 8
270.0000 -25.00000 7
270.0000 -20.00000 7
270.0000 -15.00000 2
270.0000 -10.00000 1
270.0000 -05.00000 4
270.0000 +00.00000 6
270.0000 +05.00000 8
270.0000 +10.00000 1
270.0000 +15.00000 1
270.0000 +20.00000 7
270.0000 +25.00000 11
270.0000 +30.00000 9
270.0000 +35.00000 7
270.0000 +40.00000 6
270.0000 +45.00000 3
270.0000 +50.00000 6
270.0000 +55.00000 8
270.0000 +60.00000 5
270.0000 +65.00000 9
270.0000 +70.00000 13
270.0000 +75.00000 22
270.0000 +80.00000 29
270.0000 +85.00000 39
274.9999 -85.00000 46
274.9999 -80.00000 16
274.9999 -75.00000 11
274.9999 -70.00000 11
274.9999 -65.00000 14
274.9999 -60.00000 11
274.9999 -55.00000 3
274.9999 -50.00000 8
274.9999 -45.00000 14
274.9999 -40.00000 15
274.9999 -35.00000 10
274.9999 -30.00000 9
274.9999 -25.00000 10
274.9999 -20.00000 9
274.9999 -15.00000 7
274.9999 -10.00000 4
274.9999 -05.00000 4
274.9999 +00.00000 6
274.9999 +05.00000 6
274.9999 +10.00000 4
274.9999 +15.00000 2
274.9999 +20.00000 9
274.9999 +25.00000 8
274.9999 +30.00000 9
274.9999 +35.00000 7
274.9999 +40.00000 8
274.9999 +45.00000 3
274.9999 +50.00000 6
274.9999 +55.00000 9
274.9999 +60.00000 9
274.9999 +65.00000 8
274.9999 +70.00000 18
274.9999 +75.00000 28
274.9999 +80.00000 29
274.9999 +85.00000 32
279.9999 -85.00000 52
279.9999 -80.00000 16
279.9999 -75.00000 11
279.9999 -70.00000 15
279.9999 -65.00000 17
279.9999 -60.00000 11
279.9999 -55.00000 5
279.9999 -50.00000 11
279.9999 -45.00000 15
279.9999 -40.00000 15
279.9999 -35.00000 10
279.9999 -30.00000 4
279.9999 -25.00000 8
279.9999 -20.00000 10
279.9999 -15.00000 7
279.9999 -10.00000 5
279.9999 -05.00000 6
279.9999 +00.00000 4
279.9999 +05.00000 6
279.9999 +10.00000 3
279.9999 +15.00000 5
279.9999 +20.00000 9
279.9999 +25.00000 8
279.9999 +30.00000 11
279.9999 +35.00000 16
279.9999 +40.00000 11
279.9999 +45.00000 4
279.9999 +50.00000 8
279.9999 +55.00000 16
279.9999 +60.00000 10
279.9999 +65.00000 10
279.9999 +70.00000 18
279.9999 +75.00000 26
279.9999 +80.00000 36
279.9999 +85.00000 46
285.0000 -85.00000 72
285.0000 -80.00000 16
285.0000 -75.00000 15
285.0000 -70.00000 13
285.0000 -65.00000 16
285.0000 -60.00000 6
285.0000 -55.00000 7
285.0000 -50.00000 6
285.0000 -45.00000 12
285.0000 -40.00000 12
285.0000 -35.00000 7
285.0000 -30.00000 3
285.0000 -25.00000 11
285.0000 -20.00000 11
285.0000 -15.00000 4
285.0000 -10.00000 5
285.0000 -05.00000 5
285.0000 +00.00000 6
285.0000 +05.00000 6
285.0000 +10.00000 4
285.0000 +15.00000 6
285.0000 +20.00000 8
285.0000 +25.00000 6
285.0000 +30.00000 11
285.0000 +35.00000 14
285.0000 +40.00000 12
285.0000 +45.00000 6
285.0000 +50.00000 13
285.0000 +55.00000 18
285.0000 +60.00000 11
285.0000 +65.00000 10
285.0000 +70.00000 18
285.0000 +75.00000 26
285.0000 +80.00000 39
285.0000 +85.00000 46
289.9999 -85.00000 52
289.9999 -80.00000 13
289.9999 -75.00000 15
289.9999 -70.00000 21
289.9999 -65.00000 16
289.9999 -60.00000 4
289.9999 -55.00000 8
289.9999 -50.00000 8
289.9999 -45.00000 9
289.9999 -40.00000 9
289.9999 -35.00000 4
289.9999 -30.00000 5
289.9999 -25.00000 10
289.9999 -20.00000 9
289.9999 -15.00000 5
289.9999 -10.00000 2
289.9999 -05.00000 6
289.9999 +00.00000 6
289.9999 +05.00000 6
289.9999 +10.00000 5
289.9999 +15.00000 8
289.9999 +20.00000 6
289.9999 +25.00000 9
289.9999 +30.00000 7
289.9999 +35.00000 8
289.9999 +40.00000 8
289.9999 +45.00000 7
289.9999 +50.00000 12
289.9999 +55.00000 14
289.9999 +60.00000 9
289.9999 +65.00000 12
289.9999 +70.00000 15
289.9999 +75.00000 24
289.9999 +80.00000 36
289.9999 +85.00000 52
294.9999 -85.00000 46
294.9999 -80.00000 9
294.9999 -75.00000 8
294.9999 -70.00000 23
294.9999 -65.00000 13
294.9999 -60.00000 4
294.9999 -55.00000 7
294.9999 -50.00000 4
294.9999 -45.00000 8
294.9999 -40.00000 4
294.9999 -35.00000 4
294.9999 -30.00000 3
294.9999 -25.00000 6
294.9999 -20.00000 7
294.9999 -15.00000 7
294.9999 -10.00000 4
294.9999 -05.00000 4
294.9999 +00.00000 7
294.9999 +05.00000 5
294.9999 +10.00000 8
294.9999 +15.00000 9
294.9999 +20.00000 7
294.9999 +25.00000 10
294.9999 +30.00000 9
294.9999 +35.00000 11
294.9999 +40.00000 13
294.9999 +45.00000 9
294.9999 +50.00000 16
294.9999 +55.00000 17
294.9999 +60.00000 9
294.9999 +65.00000 14
294.9999 +70.00000 15
294.9999 +75.00000 24
294.9999 +80.00000 36
294.9999 +85.00000 59
300.0000 -85.00000 46
300.0000 -80.00000 16
300.0000 -75.00000 6
300.0000 -70.00000 18
300.0000 -65.00000 13
300.0000 -60.00000 9
300.0000 -55.00000 9
300.0000 -50.00000 4
300.0000 -45.00000 3
300.0000 -40.00000 5
300.0000 -35.00000 5
300.0000 -30.00000 5
300.0000 -25.00000 3
300.0000 -20.00000 3
300.0000 -15.00000 5
300.0000 -10.00000 3
300.0000 -05.00000 3
300.0000 +00.00000 4
300.0000 +05.00000 4
300.0000 +10.00000 6
300.0000 +15.00000 7
300.0000 +20.00000 9
300.0000 +25.00000 12
300.0000 +30.00000 9
300.0000 +35.00000 14
300.0000 +40.00000 14
300.0000 +45.00000 12
300.0000 +50.00000 16
300.0000 +55.00000 12
300.0000 +60.00000 12
300.0000 +65.00000 16
300.0000 +70.00000 11
300.0000 +75.00000 17
300.0000 +80.00000 33
300.0000 +85.00000 65
304.9999 -85.00000 52
304.9999 -80.00000 19
304.9999 -75.00000 8
304.9999 -70.00000 20
304.9999 -65.00000 14
304.9999 -60.00000 9
304.9999 -55.00000 6
304.9999 -50.00000 3
304.9999 -45.00000 4
304.9999 -40.00000 3
304.9999 -35.00000 5
304.9999 -30.00000 3
304.9999 -25.00000 3
304.9999 -20.00000 2
304.9999 -15.00000 5
304.9999 -10.00000 4
304.9999 -05.00000 2
304.9999 +00.00000 5
304.9999 +05.00000 1
304.9999 +10.00000 4
304.9999 +15.00000 7
304.9999 +20.00000 7
304.9999 +25.00000 9
304.9999 +30.00000 9
304.9999 +35.00000 11
304.9999 +40.00000 11
304.9999 +45.00000 12
304.9999 +50.00000 13
304.9999 +55.00000 9
304.9999 +60.00000 18
304.9999 +65.00000 14
304.9999 +70.00000 13
304.9999 +75.00000 15
304.9999 +80.00000 29
304.9999 +85.00000 65
309.9999 -85.00000 52
309.9999 -80.00000 19
309.9999 -75.00000 11
309.9999 -70.00000 21
309.9999 -65.00000 16
309.9999 -60.00000 6
309.9999 -55.00000 7
309.9999 -50.00000 5
